siteName,siteNo,year,vegTotal,Latitude,Longitude,cottonwoodSum,rusOliveSum,nmOliveSum,saltcedarSum,precip,Date
RGNC (Rio Grande Nature Center),13,2013,277.61,35.015056,-106.6736953,123.16,45.64,NULL,105.85,20.818,2013
NHCC (National Hispanic Cultural Center),16,2013,250.34,34.647162,-106.738482,65.47,3.03,NULL,NULL,21.087,2013
Sandia,4,2013,352.98,34.648432,-106.7377022,54.52,84.98,NULL,NULL,21.616,2013
Reynolds Forest,24,2013,187.38,35.50989,-106.3896,52.47,NULL,8.08,NULL,26.891,2013
Calabacillas,9,2013,455.22,36.0618,-106.0761,NULL,2.96,24.94,NULL,NULL,2013
SLO (State Land Office),21,2014,366.42,35.195569,-106.6416219,157.35,3.5,NULL,NULL,8.108,2014
Rt 66,14,2014,412.37,34.258342,-106.8831845,34.93,83.93,0.2,137.15,8.245,2014
Savannah,12,2014,204.02,35.193151,-106.646915,47.8,2.79,7.92,0.22,8.695,2014
Alameda,10,2014,164.06,35.191958,-106.6441893,142.57,4.23,NULL,10.74,8.854,2014
Bosque Farms,22,2014,307.01,35.197056,-106.6439494,143.91,7.43,NULL,0.04,9.279,2014
Ohkay Owingeh,1,2014,381.72,35.188051,-106.646919,153.25,3.7,153.76,1.37,10.241,2014
Montano,11,2014,191.47,35.190568,-106.6491626,137.56,0.07,11.28,0.05,10.387,2014
Bobcat,6,2014,317.76,35.142853,-106.6819814,18.5,76.45,NULL,20.43,10.666,2014
Santo Domingo,2,2014,213.47,35.126753,-106.6884322,140.78,NULL,NULL,NULL,11.129,2014
VDO (Valle de Oro),20,2014,283.59,35.100641,-106.6914783,151.51,50.86,NULL,3.07,11.341,2014
AOP/Umbreit (Albuquerque Overbank Project),17,2014,283.84,35.145288,-106.6803699,128.85,41.11,NULL,NULL,11.877,2014
Reynolds Forest,24,2014,251.13,35.50989,-106.3896,64.09,NULL,7.75,NULL,12.066,2014
Los Lunas,23,2014,246.74,35.066889,-106.7202778,75.9,NULL,NULL,NULL,12.383,2014
Harrison,18,2014,160.49,34.659664,-106.7421328,156.63,NULL,4.32,2.03,12.637,2014
Badger,5,2014,221.64,35.34284,-106.5458,60.78,NULL,5.88,NULL,13.47,2014
Diversion,7,2014,207.4,34.167032,-106.8899486,170.69,NULL,2.24,26.37,13.508,2014
Minnow,8,2014,381.27,35.068813,-106.6580575,0.88,8.08,7.43,NULL,14.275,2014
BioPark,15,2014,323.91,34.648634,-106.7391728,21.75,9.95,NULL,NULL,14.891,2014
San Jose,19,2014,228.41,34.660546,-106.7429525,72.09,12.43,NULL,10.07,14.908,2014
RGNC (Rio Grande Nature Center),13,2014,403.23,35.015056,-106.6736953,110.21,54.64,NULL,2.71,16.054,2014
Sandia,4,2014,380.13,34.648432,-106.7377022,134.16,97.32,NULL,NULL,16.375,2014
Santa Ana,3,2014,495.91,34.812369,-106.714458,198.98,45.3,1.86,NULL,16.381,2014
Reynolds Cleared,25,2014,284.81,34.637511,-106.7434661,,12.03,NULL,23.97,17.166,2014
NHCC (National Hispanic Cultural Center),16,2014,240.86,34.647162,-106.738482,56.56,1.68,NULL,NULL,19.041,2014
Sevilleta,30,2014,183.27,34.96785,-106.6856,95.64,NULL,0.13,0.14,20.583,2014
Calabacillas,9,2014,441.24,36.0618,-106.0761,37.74,4.34,34.44,NULL,NULL,2014
Valencia Forest,28,2014,341.27,34.97895,-106.6801,NULL,NULL,NULL,NULL,NULL,2014
Rt 66,14,2015,416.61,34.258342,-106.8831845,117.58,89.29,1.53,128.46,15.304,2015
Diversion,7,2015,90.94,34.167032,-106.8899486,10.13,NULL,2.56,26,17.062,2015
VDO (Valle de Oro),20,2015,299.91,35.100641,-106.6914783,64.15,53.57,NULL,3.48,17.704,2015
Minnow,8,2015,424.72,35.068813,-106.6580575,164.1,9.82,6.59,NULL,18.6,2015
Bosque Farms,22,2015,326.92,35.197056,-106.6439494,170.5,10.3,NULL,NULL,18.641,2015
Valencia Forest,28,2015,NULL,34.97895,-106.6801,NULL,NULL,NULL,NULL,18.712,2015
SLO (State Land Office),21,2015,345.98,35.195569,-106.6416219,128.28,NULL,NULL,NULL,19.187,2015
Savannah,12,2015,278.77,35.193151,-106.646915,143.03,2.95,8.77,0.56,19.329,2015
BioPark,15,2015,389.98,34.648634,-106.7391728,33.9,12.72,NULL,1.94,19.636,2015
AOP/Umbreit (Albuquerque Overbank Project),17,2015,301.1,35.145288,-106.6803699,61.44,40.35,NULL,NULL,20.625,2015
Harrison,18,2015,221.44,34.659664,-106.7421328,131.68,NULL,5.47,2.13,20.84,2015
Sandia,4,2015,364.49,34.648432,-106.7377022,182.29,106.88,NULL,NULL,20.941,2015
RGNC (Rio Grande Nature Center),13,2015,412.81,35.015056,-106.6736953,58.39,61.59,4.67,2.29,20.954,2015
Los Lunas,23,2015,278.19,35.066889,-106.7202778,170.61,NULL,NULL,NULL,21.154,2015
Reynolds Forest,24,2015,256.96,35.50989,-106.3896,68.68,NULL,7.95,NULL,21.313,2015
Montano,11,2015,231.82,35.190568,-106.6491626,139.98,0.11,17.3,1.19,21.504,2015
Alameda,10,2015,254.48,35.191958,-106.6441893,42.77,8,0.45,21.37,21.579,2015
Sevilleta,30,2015,325.37,34.96785,-106.6856,106.92,NULL,0.39,1.72,22.558,2015
Reynolds Cleared,25,2015,300.48,34.637511,-106.7434661,71.66,18.57,0.8,23.53,23.358,2015
NHCC (National Hispanic Cultural Center),16,2015,345.66,34.647162,-106.738482,21.05,1.34,NULL,4.5,23.441,2015
Bobcat,6,2015,344.11,35.142853,-106.6819814,46.49,84.58,0.35,30.83,23.729,2015
San Jose,19,2015,321.42,34.660546,-106.7429525,164,10.48,NULL,15.58,23.966,2015
Santo Domingo,2,2015,272.72,35.126753,-106.6884322,137.53,NULL,NULL,NULL,23.97,2015
Ohkay Owingeh,1,2015,357.98,35.188051,-106.646919,146.73,3.33,168.41,3.18,24.845,2015
Badger,5,2015,225.55,35.34284,-106.5458,136.69,NULL,6.13,NULL,25.562,2015
Santa Ana,3,2015,446.75,34.812369,-106.714458,107.37,42.78,1.74,NULL,29.358,2015
Calabacillas,9,2015,449.39,36.0618,-106.0761,1.04,6.59,38.91,NULL,NULL,2015
