year,site,average precip
2015,18,20.84090909
2015,19,23.96666667
2015,20,17.70416667
2015,21,19.1875
2015,22,18.64166667
2015,23,21.15416667
2015,24,21.31363636
2015,25,23.35833333
2015,26,8.705
2015,28,18.7125
2015,29,19.55
2015,30,22.55833333
